Number_Of_Dependant,Years_At_Residence,Years_At_Business,Nb_Of_Products,DAY(BirthDate),DAY(Prod_Decision_Date),DAY(Customer_Open_Date),YEAR(BirthDate),YEAR(Prod_Decision_Date),YEAR(Customer_Open_Date),MONTH(BirthDate),MONTH(Prod_Decision_Date),MONTH(Customer_Open_Date),WEEKDAY(BirthDate),WEEKDAY(Prod_Decision_Date),WEEKDAY(Customer_Open_Date),Net_Annual_Income_transform,Y
3.0,10,3.0,1,19,3,19,1971,2012,2011,6,1,12,5,1,0,36.0,1
2.0,15,2.0,1,10,9,26,1984,2012,2012,1,4,3,1,0,0,18.0,0
0.0,15,1.0,1,9,25,19,1971,2011,2011,10,10,10,5,1,2,30.0,0
0.0,25,1.0,1,7,14,12,1957,2011,2011,11,9,9,3,2,0,20.0,0
0.0,10,3.0,2,27,5,3,1981,2012,2012,5,1,1,2,3,1,36.0,0
2.0,5,1.0,1,8,2,27,1979,2012,2011,1,1,12,0,0,1,25.0,0
2.0,8,2.0,1,12,14,13,1975,2011,2011,10,12,12,6,2,1,18.0,0
3.0,24,1.0,1,10,14,13,1964,2011,2011,8,9,9,0,2,1,18.0,0
2.0,7,0.0,3,9,5,1,1983,2012,2012,9,4,4,4,3,6,118787.0,0
2.0,10,1.0,1,20,7,22,1982,2011,2010,8,6,12,4,1,2,36.0,0
2.0,1,1.0,1,20,26,26,1963,2012,2012,10,4,4,6,3,3,36.0,0
0.0,15,1.0,1,7,5,10,1964,2012,2011,3,4,4,5,3,6,36.0,0
0.0,29,0.0,1,29,12,11,1982,2012,2012,8,1,1,6,3,2,42.0,0
0.0,1,1.0,1,24,29,11,1970,2012,2012,9,1,1,3,6,2,25.0,0
0.0,7,1.0,1,23,6,6,1980,2011,2011,2,12,12,5,1,1,18.0,0
0.0,10,3.0,1,17,10,9,1960,2011,2011,12,11,11,5,3,2,36.0,0
0.0,20,5.0,1,27,4,21,1979,2011,2010,12,8,11,3,3,6,18.0,0
0.0,1,1.0,1,16,18,17,1988,2012,2012,11,4,4,2,2,1,36.0,0
3.0,10,10.0,1,29,9,15,1968,2011,2008,1,10,1,0,6,1,50.0,0
2.0,29,3.0,1,9,9,21,1982,2012,2008,1,2,1,5,3,0,135156.0,0
0.0,30,30.0,1,26,6,1,1951,2012,2005,11,3,7,0,1,4,1000.0,0
0.0,30,2.0,1,27,18,17,1987,2012,2012,5,1,1,2,2,1,18.0,0
0.0,0,0.0,1,3,31,8,1988,2012,2011,4,1,6,6,1,2,36.0,0
0.0,10,12.0,1,24,4,31,1973,2011,2009,10,10,3,2,1,1,50.0,0
3.0,1,1.0,1,28,22,6,1959,2011,2011,4,12,12,1,3,1,36.0,0
0.0,10,10.0,1,17,14,13,1969,2012,2012,3,2,2,0,1,0,36.0,0
1.0,1,1.0,1,26,15,13,1956,2011,2011,8,9,9,6,3,1,36.0,0
2.0,15,1.0,1,2,25,17,1959,2011,2011,12,7,7,2,0,6,30.0,0
0.0,15,1.0,1,7,16,26,1987,2011,2011,10,8,7,2,1,1,42.0,1
2.0,1,1.0,1,22,26,21,1973,2011,2011,9,7,7,5,1,3,20.0,0
0.0,20,0.0,1,29,21,8,1989,2011,2010,9,9,11,4,2,0,24.0,0
0.0,10,1.0,2,9,19,14,1964,2012,2009,4,1,5,3,3,3,36.0,0
0.0,1,1.0,1,26,28,27,1981,2012,2012,10,2,2,0,1,0,36.0,0
3.0,57,11.0,1,19,17,15,1956,2011,2011,9,11,11,2,3,1,240.0,0
0.0,16,3.0,1,30,18,5,1984,2011,2011,11,9,9,4,6,0,21.0,0
0.0,15,1.0,1,20,3,25,1973,2012,2011,5,1,12,6,1,6,30.0,0
0.0,1,1.0,1,16,12,11,1988,2011,2011,9,12,12,4,0,6,36.0,0
3.0,2,1.0,1,2,30,29,1972,2011,2011,1,5,5,6,0,6,18.0,0
0.0,10,3.0,2,20,5,8,1979,2012,2009,3,1,7,1,3,2,36.0,0
